Date, Total current assets, Total assets, Total current liabilities, Total liabilities, Total shareholder's equity,Total shares outstanding (common shares), Dividend, Net income,Debt Equity,Current Ratio,EPS,Book Value
 14/03/1997,150749000.000,412034000.000,30919000.000,210871000.000,201163000.000,40098721.000,0.020,79000.000,1.048,4.876,0.008,5.017
 30/05/1997,150749000.000,412034000.000,30919000.000,210871000.000,201163000.000,40098721.000,0.020,-773000.000,1.048,4.876,-0.013,5.017
 27/08/1997,121467000.000,469262000.000,30919000.000,208147000.000,261115000.000,40098721.000,0.020,-1220000.000,0.797,3.929,-0.046,6.512
 26/11/1997,108505000.000,465845000.000,30919000.000,208434000.000,257411000.000,40098721.000,0.020,-1411000.000,0.810,3.509,-0.083,6.419
 27/04/1998,141081000.000,334645000.000,29321000.000,198804000.000,135841000.000,45663981.000,0.020,-118190000.000,1.464,4.812,-2.673,2.975
 29/05/1998,141081000.000,334645000.000,29321000.000,198804000.000,135841000.000,45663981.000,0.020,-2283199.000,1.464,4.812,-2.704,2.975
 28/08/1998,207258000.000,426102000.000,28379000.000,201950000.000,224152000.000,55024688.000,0.020,-3003000.000,0.901,7.303,-2.728,4.074
 09/11/1998,180914000.000,423812000.000,21123000.000,202716000.000,221096000.000,55068299.000,0.020,-3883000.000,0.917,8.565,-2.763,4.015
 12/05/1999,163671000.000,430478000.000,20353000.000,209000000.000,221478000.000,55112625.000,0.020,-2292801.000,0.944,8.042,-0.217,4.019
 10/06/1999,88739000.000,276046000.000,9228000.000,133042000.000,143004000.000,55168605.000,0.020,-1745000.000,0.930,9.616,-0.198,2.592
 24/08/1999,68975000.000,275263000.000,9598000.000,134827000.000,140436000.000,55223344.000,0.020,-2890000.000,0.960,7.186,-0.196,2.543
 09/11/1999,49613000.000,271483000.000,10962000.000,135664000.000,135819000.000,55288708.000,0.020,-5063000.000,0.999,4.526,-0.217,2.457
 16/05/2000,40784000.000,294228000.000,16261000.000,158430000.000,135798000.000,55391451.000,0.020,-4977000.000,1.167,2.508,-0.265,2.452
 18/05/2000,39351000.000,307466000.000,14541000.000,174649000.000,132817000.000,55476183.000,0.020,-3485000.000,1.315,2.706,-0.297,2.394
 01/08/2000,41255000.000,326826000.000,14441000.000,197054000.000,129772000.000,55536870.000,0.020,-3425000.000,1.518,2.857,-0.306,2.337
 08/11/2000,33444000.000,333520000.000,16630000.000,204639000.000,128881000.000,55603158.000,0.020,-1356000.000,1.588,2.011,-0.239,2.318
 30/04/2001,42744000.000,364752000.000,23860000.000,230862000.000,133890000.000,56139480.000,0.020,3097000.000,1.724,1.791,-0.094,2.385
 20/09/2001,42575000.000,370692000.000,19174000.000,233914000.000,136778000.000,56303184.000,0.020,-253000.000,1.710,2.220,-0.035,2.429
 20/09/2001,118609000.000,450112000.000,16719000.000,232198000.000,217399000.000,66799612.000,0.020,-11116000.000,1.068,7.094,-0.140,3.254
 01/11/2001,109802000.000,446034000.000,13906000.000,231146000.000,214888000.000,67061654.000,0.020,-4801000.000,1.076,7.896,-0.187,3.204
