Date,Shares Outstanding,Annual Dividend,Current Ratio,Debt Equity,Book Value,EPS
5/26/1997,103200000,0.98,0.5656203451,1.135298295,24.24418605,2.069767442
8/28/1997,164900000,0.98,28.26785714,0.6552349297,23.76591874,1.827326639
12/19/1997,165900000,0.98,5.842496285,0.7477578475,22.1880651,1.918506527
4/16/1998,166140353,0.98,8.602058319,0.6062371487,24.23854246,1.622877551
5/28/1998,168200000,0.98,9.275,0.6092846522,25.32104637,2.663105131
8/28/1998,168300000,0.98,8.356792144,0.6077138619,25.37136067,2.58298311
11/27/1998,169500000,0.98,8.549079755,0.6757112317,25.26253687,2.395750157
3/31/1999,169600000,0.98,9.33745583,0.6704620462,25.23584906,2.462698667
5/28/1999,170200000,0.98,12.33793103,0.6649006623,25.22326675,1.245804784
8/27/1999,173400000,0.98,11.03253796,0.6428214107,25.12110727,1.304523458
11/26/1999,173800000,0.98,9.969289827,0.6644218134,25.26467204,1.527374801
3/28/2000,173900000,0.98,9.538022814,0.6634460548,25.65842438,2.441174616
5/24/2000,173900000,0.98,8.931856899,0.5998465081,27.34330075,4.095798713
8/28/2000,174100000,0.98,8.330683625,0.6393818849,27.66800689,4.277931639
11/27/2000,169900000,0.98,8.278481013,0.642247944,28.18128311,4.383991455
3/22/2001,169400000,1,6.836206897,0.6942848503,29.00236128,3.753843988
5/30/2001,172600000,1,6.551681196,0.7026364194,29.14252607,2.274087438
8/28/2001,172400000,1,6.798941799,0.6776155718,29.46055684,2.29737925
11/28/2001,170400000,1,5.606918239,0.7575757576,31.03873239,2.084280962
3/27/2002,169800000,1,1.635040745,1.556721464,25.0942285,1.812108547
5/28/2002,166600000,1,1.467053242,1.591380315,25.24609844,1.90871034
8/28/2002,177200000,1,1.663953488,1.594888401,26.03837472,1.920114864
11/27/2002,176000000,1,1.617386778,1.673684211,26.13068182,2.020680378
4/1/2003,174100000,1,1.900200602,1.738284066,23.90580126,1.123841918
5/28/2003,171200000,1.04,2.068237206,1.732065217,15.98130841,0.8386998235
8/26/2003,170900000,1.08,1.634588563,1.725161516,16.75833821,0.5752822771
11/26/2003,171000000,1.12,1.444783405,1.761904762,17.07017544,0.6487139623
3/31/2004,170700000,1.12,1.638395415,1.548820497,17.71528998,2.387740379
5/13/2004,171800000,1.12,1.383823529,1.635009311,18.02677532,2.916283675
6/2/2004,257700000,0.52,1.383823529,1.635009311,12.01785021,3.118077779
8/13/2004,258000000,0.52,1.393667546,1.597888386,12.35271318,3.265840597
11/12/2004,258000000,0.56,1.342057762,1.722366149,13.12403101,2.90282102
3/30/2005,258700000,0.56,1.075395366,1.779938872,13.45574024,2.383471788
5/13/2005,259500000,0.56,1.1263679,2.867772836,13.14450867,2.448879205
8/12/2005,260200000,0.6,1.22465035,2.567872958,14.88086088,4.060671565
11/14/2005,261100000,0.6,1.43885175,2.394373966,17.56415167,6.135328874
3/28/2006,257587568,0.6,1.724402543,2.487808356,17.52413766,6.38524042
4/28/2006,386381352,0.4,1.724402543,2.487808356,11.68275844,6.14020788
5/12/2006,386600000,0.4,1.718776916,2.482265604,12.06156234,4.258868244
8/14/2006,386800000,0.64,1.652360515,2.643315371,12.20527404,1.789042469
11/14/2006,387300000,0.64,1.656238291,2.776210446,12.66460108,1.835418614
3/29/2007,387900000,0.64,1.476835463,2.984823793,13.90822377,3.019761238
5/15/2007,388100000,0.64,1.514960156,2.73931463,15.61710899,3.059198197
6/4/2007,582150000,0.48,1.514960156,2.73931463,10.411406,3.045145832
8/14/2007,583600000,0.48,1.422622108,2.816023739,10.8584647,2.674727139
11/7/2007,581000000,0.48,1.444910682,2.992885094,10.89156627,1.259647752
3/27/2008,583600000,0.48,1.170462456,3.590229397,11.38450994,1.350071759
5/15/2008,581700000,0.48,1.091946373,3.507486588,10.55526904,1.353769085
8/14/2008,583800000,0.52,1.093608169,3.44363441,10.76396026,1.28002391
11/14/2008,583400000,0.52,1.133426664,3.392597382,9.977716832,1.413064422
